purity	normFactor	score	diploidProportion	ploidy	somaticPenalty
0.5900	1.3768	0.4550	0.0000	1.0600	0.0000
0.6000	1.3858	0.4672	0.0000	1.0600	0.0000
0.6100	1.3949	0.4675	0.0000	1.0600	0.0000
0.6300	1.4393	0.4730	0.0000	1.0200	0.0000
0.6400	1.4496	0.4747	0.0000	1.0200	0.0000
0.5800	1.3679	0.4752	0.0000	1.0600	0.0000
0.6500	1.4600	0.4806	0.0000	1.0200	0.0000
0.6200	1.4292	0.4851	0.0000	1.0200	0.0000
0.5900	1.3881	0.4859	0.0000	1.0400	0.0000
0.6600	1.4706	0.4863	0.0000	1.0200	0.0000
0.6000	1.3975	0.4883	0.0000	1.0400	0.0000
0.6700	1.4813	0.4904	0.0000	1.0200	0.0000
0.6800	1.4922	0.4926	0.0000	1.0200	0.0000
0.6100	1.4192	0.4990	0.0000	1.0200	0.0000
0.6900	1.5033	0.5010	0.0000	1.0200	0.0000
0.6200	1.4042	0.5049	0.0000	1.0600	0.0000
0.6000	1.3743	0.5071	0.0000	1.0800	0.0000
0.6100	1.3831	0.5081	0.0000	1.0800	0.0000
0.6100	1.4070	0.5095	0.0000	1.0400	0.0000
0.7000	1.5145	0.5129	0.0000	1.0200	0.0000
0.5800	1.3789	0.5164	0.0000	1.0400	0.0000
0.5700	1.3591	0.5196	0.0000	1.0600	0.0000
0.6200	1.3920	0.5260	0.0000	1.0800	0.0000
0.7100	1.5259	0.5317	0.0000	1.0200	0.0000
0.6000	1.4094	0.5320	0.0000	1.0200	0.0000
0.6200	1.4166	0.5427	0.0000	1.0400	0.0000
0.6400	1.4633	0.5448	0.0000	1.0000	0.0000
0.5700	1.3698	0.5467	0.0000	1.0400	0.0000
0.6500	1.4741	0.5504	0.0000	1.0000	0.0000
0.6300	1.4526	0.5527	0.0000	1.0000	0.0000
0.6600	1.4851	0.5548	0.0000	1.0000	0.0000
0.7200	1.5374	0.5557	0.0000	1.0200	0.0000
0.6100	1.3715	0.5560	0.0000	1.1000	0.0000
0.6700	1.4963	0.5579	0.0000	1.0000	0.0000
0.5900	1.3997	0.5640	0.0000	1.0200	0.0000
0.6200	1.4420	0.5664	0.0000	1.0000	0.0000
0.5600	1.3505	0.5680	0.0000	1.0600	0.0000
0.5900	1.3657	0.5724	0.0000	1.0800	0.0000
0.6800	1.5076	0.5729	0.0000	1.0000	0.0000
0.6000	1.3630	0.5739	0.0000	1.1000	0.0000
0.6200	1.3800	0.5753	0.0000	1.1000	0.0000
0.7300	1.5491	0.5773	0.0000	1.0200	0.0000
0.6300	1.4263	0.5774	0.0000	1.0400	0.0000
