chromosome	start	end	gene	minCopyNumber	maxCopyNumber	somaticRegions	transcriptId	isCanonical	chromosomeBand	minRegions	minRegionStart	minRegionEnd	minRegionStartSupport	minRegionEndSupport	minRegionMethod	minMinorAlleleCopyNumber
chr10	14061	14604	AC215217.1	2.0000	2.0000	1	ENST00000562162	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	44712	46884	AL713922.1	2.0000	2.0000	1	ENST00000416477	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	46953	49589	TUBB8	2.0000	2.0000	1	ENST00000568584	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	80394	86265	IL9RP2	2.0000	2.0000	1	ENST00000423948	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	135069	254637	ZMYND11	2.0000	2.0000	1	ENST00000381591	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	147820	148751	AL713922.2	2.0000	2.0000	1	ENST00000619384	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	154831	154943	RNA5SP297	2.0000	2.0000	1	ENST00000391029	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	274201	689668	DIP2C	2.0000	2.0000	1	ENST00000280886	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	282015	282125	RNA5SP298	2.0000	2.0000	1	ENST00000364991	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	430239	430504	RN7SL754P	2.0000	2.0000	1	ENST00000470784	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	437561	441170	AL669841.1	2.0000	2.0000	1	ENST00000425723	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	628638	631255	AL358216.1	2.0000	2.0000	1	ENST00000451601	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	641689	641778	MIR5699	2.0000	2.0000	1	ENST00000578903	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	650111	651233	PRR26	2.0000	2.0000	1	ENST00000651923	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	743992	744958	AL157709.1	2.0000	2.0000	1	ENST00000412695	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	806914	931705	LARP4B	2.0000	2.0000	1	ENST00000612396	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	933026	942743	AL359878.2	2.0000	2.0000	1	ENST00000435531	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	985226	988329	AL359878.1	2.0000	2.0000	1	ENST00000615314	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	988434	1019932	GTPBP4	2.0000	2.0000	1	ENST00000360803	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	1018910	1025859	IDI2	2.0000	2.0000	1	ENST00000277517	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	1022637	1045425	IDI2-AS1	2.0000	2.0000	1	ENST00000665330	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	1039908	1049170	IDI1	2.0000	2.0000	1	ENST00000381344	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	1049538	1132297	WDR37	2.0000	2.0000	1	ENST00000358220	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	1159768	1165112	LINC00200	2.0000	2.0000	1	ENST00000425630	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	1177313	1737525	ADARB2	2.0000	2.0000	1	ENST00000381312	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	1201406	1208389	AL392083.2	2.0000	2.0000	1	ENST00000658498	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	1290018	1293002	AL392083.1	2.0000	2.0000	1	ENST00000632982	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	1361001	1361637	AL513304.1	2.0000	2.0000	1	ENST00000432987	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	1526637	1556984	ADARB2-AS1	2.0000	2.0000	1	ENST00000421697	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	1957589	1960190	AL355597.1	2.0000	2.0000	1	ENST00000653889	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	2005465	2015005	LINC00700	2.0000	2.0000	1	ENST00000413603	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	2071845	2081097	AL441943.1	2.0000	2.0000	1	ENST00000435539	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	2076019	2076089	MIR6072	2.0000	2.0000	1	ENST00000622225	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	2098167	2098269	RNU6-889P	2.0000	2.0000	1	ENST00000517189	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	2150480	2169423	AL441943.2	2.0000	2.0000	1	ENST00000658923	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	2169140	2189474	LINC02662	2.0000	2.0000	1	ENST00000418524	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	2199387	2199488	RNU6-576P	2.0000	2.0000	1	ENST00000390854	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	2305083	2315075	LINC00701	2.0000	2.0000	1	ENST00000418295	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	2438831	2502177	LINC02645	2.0000	2.0000	1	ENST00000655634	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	2499721	2500570	AL713851.2	2.0000	2.0000	1	ENST00000431209	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	2501600	2567537	AL713851.1	2.0000	2.0000	1	ENST00000664280	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	2724819	2728267	AL355361.1	2.0000	2.0000	1	ENST00000671591	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	2936021	2936441	AC026396.1	2.0000	2.0000	1	ENST00000419388	true	p15.3	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3009976	3013111	AL731533.1	2.0000	2.0000	1	ENST00000439575	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3042535	3047083	AL731533.3	2.0000	2.0000	1	ENST00000658425	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3065424	3066001	AL731533.2	2.0000	2.0000	1	ENST00000607898	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
chr10	3067548	3136802	PFKP	2.0000	2.0000	1	ENST00000381125	true	p15.2	1	1	40640101	TELOMERE	CENTROMERE	UNKNOWN	0.0000
